epoch,train_loss,dev_f1_05,best_tuned_f1,threshold
1,0.35046713730211815,0.32526881720430106,0.3611650485436893,0.5499999999999998
2,0.2718272527613977,0.4266666666666667,0.45774647887323944,0.46999999999999986
3,0.21203083944184048,0.4373956594323873,0.5226666666666666,0.6899999999999997
4,0.1381895249421951,0.5145631067961165,0.5439560439560439,0.5999999999999998
5,0.07654656508792432,0.5442622950819672,0.5527272727272727,0.5899999999999997
6,0.040308671692416455,0.5252525252525253,0.5714285714285714,0.12
7,0.040265132236874744,0.4470588235294118,0.5396825396825397,0.12
8,0.007435604476646446,0.512,0.5319148936170213,0.11
9,0.0007182145313295905,0.5359477124183006,0.5515151515151515,0.21999999999999995
10,0.00028705757240598195,0.5054151624548736,0.5352112676056338,0.16999999999999998
